trade_id,symbol,side,status,strategy,reasoning,entry_timestamp,entry_price,entry_quantity,entry_commission,stop_loss_price,take_profit_price,realized_pnl,pnl_percentage,notes,exit_timestamp,exit_price,exit_quantity,exit_reason,exit_commission,holding_duration_hours,signal_type,signal_confidence,signal_strength
ADA/USDT_20250614_165054_7b48a57f,ADA/USDT,sell,closed,mean_reversion,"Strong mean_reversion signal detected with 61.2% confidence. RSI at 57.6, favorable risk/reward ratio.",2025-06-14T16:50:54.089178,2695.2613528536776,0.002330363203591255,0.0062809378807517965,2830.0244204963615,2479.6404446253837,-0.468180670463191,-7.453993007922444, | Closed due to take profit,2025-06-14T16:50:54.195157,2890.5801041835894,0.002330363203591255,take_profit,0.006736101511822414,2.9438611111111112e-05,mean_reversion_signal,0.6124927711152314,0.9450653346431671
ADA/USDT_20250614_165054_74a9fb5b,ADA/USDT,buy,open,momentum,"Strong momentum signal detected with 84.2% confidence. RSI at 65.5, favorable risk/reward ratio.",2025-06-14T16:50:54.088127,3519.702025874356,0.003583013087501942,0.012611138422814916,3343.716924580638,3801.2781879443046,0.0,0.0,,,,,,,,momentum_signal,0.841645435939168,0.6500735908766724
ADA/USDT_20250614_165054_f85a3d4d,ADA/USDT,sell,open,momentum,"Strong momentum signal detected with 81.6% confidence. RSI at 59.3, favorable risk/reward ratio.",2025-06-14T16:50:54.086347,3009.7903972696677,0.0055482040070168985,0.016698931142412554,3160.2799171331512,2769.0071654880944,0.0,0.0,,,,,,,,momentum_signal,0.8162892545306606,0.658112061914726
ETH/USDT_20250614_165053_0f36c87a,ETH/USDT,buy,closed,breakout,"Strong breakout signal detected with 69.9% confidence. RSI at 65.8, favorable risk/reward ratio.",2025-06-14T16:50:53.978674,3849.636958362873,0.001930712668176527,0.007432542843391752,3657.155110444729,4157.607915031903,-0.7277215582885656,-9.791017335817719, | Closed due to manual,2025-06-14T16:50:54.084491,3480.0480213832643,0.001930712668176527,manual,0.006718972800747325,2.9393611111111108e-05,breakout_signal,0.6989573243155893,0.9887637579588326
ETH/USDT_20250614_165053_43d4154d,ETH/USDT,buy,open,momentum,"Strong momentum signal detected with 79.7% confidence. RSI at 39.8, favorable risk/reward ratio.",2025-06-14T16:50:53.977758,3781.0360856508396,0.0031011355924045725,0.011725505581377882,3591.9842813682976,4083.518972502907,0.0,0.0,,,,,,,,momentum_signal,0.7966684284563013,0.8835647870089036
DOT/USDT_20250614_165053_8ab1d583,DOT/USDT,buy,closed,breakout,"Strong breakout signal detected with 91.0% confidence. RSI at 38.4, favorable risk/reward ratio.",2025-06-14T16:50:53.870224,2895.077490621524,0.0013666582403313802,0.0039565815089558,2750.3236160904476,3126.683689871246,0.41311076087298726,10.441103258909312, | Closed due to take profit,2025-06-14T16:50:53.976347,3203.454052385765,0.0013666582403313802,take_profit,0.004378026878215959,2.9478611111111108e-05,breakout_signal,0.9099470071872626,0.7109577819806319
ADA/USDT_20250614_165053_64dad282,ADA/USDT,buy,closed,breakout,"Strong breakout signal detected with 63.9% confidence. RSI at 33.8, favorable risk/reward ratio.",2025-06-14T16:50:53.762974,3846.2938871345914,0.004867856900583953,0.018723208240162,3653.9791927778615,4153.997398105359,2.0172546978439563,10.774086748214804, | Closed due to stop loss,2025-06-14T16:50:53.868884,4268.812033045936,0.004867856900583953,stop_loss,0.020779966112358474,2.9419444444444447e-05,breakout_signal,0.6391492588963582,0.8536235399867758
ETH/USDT_20250614_165053_0787e7c3,ETH/USDT,buy,closed,momentum,"Strong momentum signal detected with 94.3% confidence. RSI at 49.3, favorable risk/reward ratio.",2025-06-14T16:50:53.654908,2077.6423415591426,0.0017602014948846123,0.003657069155447969,1973.7602244811853,2243.8537288838743,-0.02005058546912081,-0.5482692455856699, | Closed due to stop loss,2025-06-14T16:50:53.761763,2070.399309217885,0.0017602014948846123,stop_loss,0.0036443199590933894,2.9681944444444447e-05,momentum_signal,0.942979651070764,0.9856777802937884
BTC/USDT_20250614_165053_a82ff48c,BTC/USDT,sell,closed,mean_reversion,"Strong mean_reversion signal detected with 69.4% confidence. RSI at 61.2, favorable risk/reward ratio.",2025-06-14T16:50:53.545813,39059.56489716901,0.002541858501030189,0.0992838870804094,41012.54314202746,35934.79970539549,-12.146682574204172,-12.234293933683972, | Closed due to stop loss,2025-06-14T16:50:53.652478,43755.41189911043,0.002541858501030189,stop_loss,0.11122006570183134,2.9629166666666664e-05,mean_reversion_signal,0.6937316688122195,0.8852612246888274
ADA/USDT_20250614_165053_bf6fe142,ADA/USDT,buy,closed,mean_reversion,"Strong mean_reversion signal detected with 69.3% confidence. RSI at 66.7, favorable risk/reward ratio.",2025-06-14T16:50:53.437801,3024.907262333036,0.009360374790267495,0.028314265681239216,2873.6618992163844,3266.8998433196793,-2.7463666793589327,-9.699586456796764, | Closed due to stop loss,2025-06-14T16:50:53.543721,2737.26594038784,0.009360374790267495,stop_loss,0.025621835102664185,2.9422222222222222e-05,mean_reversion_signal,0.6928431394943443,0.6151136719589951
ADA/USDT_20250614_165053_f8583c6d,ADA/USDT,sell,open,breakout,"Strong breakout signal detected with 80.9% confidence. RSI at 45.9, favorable risk/reward ratio.",2025-06-14T16:50:53.436738,3546.056809746374,0.00678931781233685,0.024075306661969442,3723.3596502336927,3262.3722649666643,0.0,0.0,,,,,,,,breakout_signal,0.808896281258288,0.7278806492845138
BTC/USDT_20250614_165053_2985dc04,BTC/USDT,sell,closed,mean_reversion,"Strong mean_reversion signal detected with 79.7% confidence. RSI at 57.3, favorable risk/reward ratio.",2025-06-14T16:50:53.329629,43401.25176315414,0.0026864639386396626,0.11659589775353467,45571.31435131185,39929.15162210181,6.695025772541408,5.742076609499278, | Closed due to take profit,2025-06-14T16:50:53.435359,40824.892493175845,0.0026864639386396626,take_profit,0.10967460148175798,2.9369444444444446e-05,mean_reversion_signal,0.7968633670759084,0.5202706207950563
BTC/USDT_20250614_165053_d01e6726,BTC/USDT,buy,open,breakout,"Strong breakout signal detected with 69.9% confidence. RSI at 58.4, favorable risk/reward ratio.",2025-06-14T16:50:53.328901,43735.972249053564,0.0027163131905539794,0.11880059832180699,41549.173636600884,47234.85002897785,0.0,0.0,,,,,,,,breakout_signal,0.699239926917709,0.6171208815579956
